Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2010-11-09,11.288571,139.713196,79.099998,31.32,65.300003,64.309998,28.74,16.119545,55.049999
2010-11-10,11.358214,140.105164,79.5,31.275,65.25,63.950001,28.690001,15.967742,54.509998
2010-11-11,11.308929,139.034424,79.699997,31.4,64.900002,63.919998,28.57,16.110058,54.34
2010-11-12,11.001071,137.418732,78.849998,31.459999,64.639999,63.669998,28.32,15.986717,54.130001
2010-11-15,10.965714,137.323135,79.07,31.48,64.419998,64.139999,28.4,15.891841,53.950001
2010-11-16,10.771071,135.984711,77.419998,31.040001,64.040001,63.139999,27.58,15.749526,54.259998
2010-11-17,10.732143,135.707458,78.370003,31.26,63.939999,63.060001,27.91,15.635674,53.77
2010-11-18,11.015357,138.011475,79.019997,31.92,64.769997,63.830002,28.309999,15.967742,53.98
2010-11-19,10.954643,138.671127,79.639999,32.16,64.709999,63.830002,28.15,15.939279,54.389999
2010-11-22,11.191429,138.99617,79.519997,32.134998,64.699997,63.619999,28.049999,15.777989,54.380001
2010-11-23,11.026071,136.883362,79.010002,31.809999,63.889999,62.869999,27.190001,15.721063,53.669998
2010-11-24,11.242857,139.397705,79.480003,32.305,64.330002,63.290001,27.74,15.834915,54.009998
2010-11-26,11.25,137.571701,78.540001,32.055,63.900002,62.299999,27.49,15.645161,53.740002
2010-11-29,11.316786,136.606125,78.260002,31.695,64.010002,61.91,27.219999,15.711575,53.849998
2010-11-30,11.1125,135.238998,78.300003,31.584999,64.629997,61.549999,27.049999,15.464896,54.09
2010-12-01,11.3,138.05928,79.290001,32.349998,65.629997,62.419998,27.65,15.844402,54.700001
2010-12-02,11.3625,138.79541,79.379997,32.450001,65.199997,62.599998,28.1,15.834915,54.75
2010-12-03,11.337143,138.986618,79.760002,32.25,65.169998,62.560001,28.809999,15.863378,54.619999
2010-12-06,11.433929,138.61377,79.580002,31.995001,64.730003,62.200001,28.73,15.948767,54.490002
2010-12-07,11.364643,137.686417,80.339996,32.07,64.68,62.310001,29.049999,15.910816,55.09
2010-12-08,11.464643,138.604202,78.739998,32.195,64.629997,62.450001,29.23,15.863378,54.490002
2010-12-09,11.42,137.954117,77.610001,32.415001,64.720001,62.060001,29.26,15.901328,54.34
2010-12-10,11.448571,138.451248,77.559998,32.325001,64.900002,61.91,29.940001,16.148008,54.279999
2010-12-13,11.488214,137.934998,77.110001,32.424999,65.529999,61.860001,30.42,16.309298,54.209999
2010-12-14,11.438929,139.407272,77.110001,31.950001,65.589996,62.77,30.51,16.233397,54.450001
2010-12-15,11.441429,138.355637,76.980003,32.369999,65.239998,62.57,30.49,16.204933,54.23
2010-12-16,11.473214,138.193115,76.709999,32.669998,65.75,62.400002,30.27,16.337761,54.630001
2010-12-17,11.450357,138.623322,76.809998,32.849998,65.970001,62.540001,31.459999,16.157495,54.41
2010-12-20,11.5075,138.154877,76.919998,32.654999,66.309998,62.490002,31.67,16.290323,53.77
2010-12-21,11.578571,139.33078,76.860001,32.744999,65.400002,62.34,31.76,16.489565,53.650002
2010-12-22,11.612857,139.531555,77.010002,32.794998,65.68,62.02,31.66,16.660341,53.310001
